request_id,timestamp,service,endpoint,method,status_code,latency_ms
req-005800,2026-03-03T07:11:39Z,auth,/v1/login,POST,201,64
req-006171,2026-03-03T10:32:42Z,auth,/v1/session,GET,200,49
req-004385,2026-03-02T18:05:16Z,checkout,/v1/pay,POST,200,154
req-003859,2026-03-02T13:00:17Z,checkout,/v1/pay,POST,503,194
req-004690,2026-03-02T20:24:00Z,auth,/v1/session,GET,200,20
req-007212,2026-03-03T20:50:43Z,catalog,/v1/items,GET,201,51
req-007174,2026-03-03T20:33:00Z,auth,/v1/login,POST,201,62
req-005348,2026-03-03T03:15:21Z,search,/v1/query,GET,200,1563
req-004323,2026-03-02T17:59:22Z,catalog,/v1/items,GET,200,58
req-002988,2026-03-02T04:24:11Z,auth,/v1/session,GET,302,42
req-004172,2026-03-02T16:18:06Z,checkout,/v1/pay,POST,204,188
req-001119,2026-03-01T10:59:06Z,search,/v1/cache,DELETE,200,46
req-004408,2026-03-02T18:19:03Z,auth,/v1/login,POST,200,57
req-007354,2026-03-03T22:31:39Z,billing,/v1/invoices,GET,201,269
req-000487,2026-03-01T04:37:14Z,catalog,/v1/items,GET,200,62
req-003174,2026-03-02T06:22:27Z,catalog,/v1/items,GET,200,35
req-003566,2026-03-02T10:22:32Z,search,/v1/query,GET,503,489
req-004380,2026-03-02T18:11:23Z,checkout,/v1/pay,POST,200,239
req-006915,2026-03-03T17:51:38Z,auth,/v1/session,GET,200,58
req-002653,2026-03-02T01:34:25Z,catalog,/v1/items,GET,200,68
req-004970,2026-03-02T23:59:23Z,catalog,/v1/items,GET,200,59
req-000662,2026-03-01T06:24:23Z,auth,/v1/login,POST,200,71
req-007371,2026-03-03T22:00:44Z,auth,/v1/login,POST,204,99
req-004812,2026-03-02T22:13:53Z,checkout,/v1/pay,POST,201,151
req-005245,2026-03-03T02:42:43Z,auth,/v1/login,POST,204,52
req-004251,2026-03-02T16:06:13Z,catalog,/v1/items,PUT,200,88
req-006945,2026-03-03T18:12:05Z,search,/v1/query,GET,200,264
req-006764,2026-03-03T16:53:24Z,catalog,/v1/items,GET,201,61
req-000549,2026-03-01T05:36:52Z,auth,/v1/login,POST,200,65
req-000609,2026-03-01T05:07:48Z,auth,/v1/session,GET,204,31
req-007439,2026-03-03T23:02:21Z,checkout,/v1/pay,POST,201,186
req-003681,2026-03-02T11:49:24Z,auth,/v1/login,POST,204,97
req-000771,2026-03-01T07:06:46Z,catalog,/v1/items,GET,200,77
